recipient_unique_id,transaction_id,action_date,last_modified_date,fiscal_year,award_id,generated_pragmatic_obligation,total_obligation,total_subsidy_cost,total_loan_value,total_obl_bin,federal_action_obligation,original_loan_subsidy_cost,face_value_loan_guarantee,recipient_id,recipient_hash,awarding_agency_id,funding_agency_id,type,action_type,award_category,fain,uri,piid,transaction_description,modification_number,pop_country_code,pop_country_name,pop_state_code,pop_county_code,pop_county_name,pop_zip5,pop_congressional_code,recipient_location_country_code,recipient_location_country_name,recipient_location_state_code,recipient_location_county_code,recipient_location_county_name,recipient_location_congressional_code,recipient_location_zip5,naics_code,naics_description,product_or_service_code,product_or_service_description,pulled_from,type_of_contract_pricing,type_set_aside,extent_competed,cfda_number,cfda_title,recipient_name,parent_recipient_unique_id,awarding_toptier_agency_name,funding_toptier_agency_name,awarding_subtier_agency_name,funding_subtier_agency_name,awarding_toptier_agency_abbreviation,funding_toptier_agency_abbreviation,awarding_subtier_agency_abbreviation,funding_subtier_agency_abbreviation,business_categories
000000000,91396039,2007-09-25,2007-09-25,2007,63190943,456700.00,128000.00,456700.00,1000000.00,<1M,128000.00,0.00,0.00,104054068,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,loans,A050070930070000,,,RURAL RENTAL ASSISTANCE PAYMENTS,455,,,,,,,2.0,,,AR,119.0,PULASKI,2.0,72211,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91396044,2007-09-25,2007-09-25,2007,63190943,456700.00,128000.00,456700.00,1000000.00,<1M,0.00,456700.00,1000000.00,104054073,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A050070930070000,,,RURAL RENTAL HOUSING LOANS                                                 NEW CONSTRUCTION,456,,,,,,,2.0,,,AR,119.0,PULASKI,2.0,72211,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91405286,2007-09-25,2007-09-25,2007,48327842,154150.00,0.00,154150.00,1686924.00,<1M,0.00,45103.00,469828.00,104063315,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A212330930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,833,,,,,,,1.0,,,IN,169.0,WABASH,5.0,46992,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91358727,2007-09-25,2007-09-25,2007,63176095,77639.00,313152.00,77639.00,170000.00,<1M,0.00,77639.00,170000.00,104016755,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A230110930070000,,,RURAL RENTAL HOUSING LOANS                                                 REHAB/REPAIR,075,,,,,,,1.0,,,ME,25.0,SOMERSET,2.0,04478,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91402079,2007-09-04,2007-09-04,2007,63192866,302975.00,319924.00,302975.00,663402.00,<1M,319924.00,0.00,0.00,104060108,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,loans,A260230930070000,,,RURAL RENTAL ASSISTANCE PAYMENTS,660,,,,,,,7.0,,,MI,77.0,KALAMAZOO,6.0,49001,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91405727,2007-09-04,2007-09-04,2007,63193776,331980.00,497970.00,0.00,,<1M,331980.00,0.00,0.00,104063756,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A120730930070001,,,RURAL RENTAL ASSISTANCE PAYMENTS,929,,,,,,,2.0,,,FL,65.0,JEFFERSON,4.0,32345,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91389159,2007-09-04,2007-09-04,2007,63189051,120720.00,354615.00,0.00,,<1M,120720.00,0.00,0.00,104047187,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A120750930070000,,,RURAL RENTAL ASSISTANCE PAYMENTS,290,,,,,,,5.0,,,FL,103.0,PINELLAS,9.0,33756,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,other_than_small_business category_business
000000000,91405719,2007-09-04,2007-09-04,2007,63193779,294255.00,671505.00,0.00,,<1M,294255.00,0.00,0.00,104063748,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A120910930070001,,,RURAL RENTAL ASSISTANCE PAYMENTS,927,,,,,,,1.0,,,FL,5.0,BAY,2.0,32405,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91405429,2007-09-24,2007-09-24,2007,63193717,119214.00,119214.00,0.00,,<1M,119214.00,0.00,0.00,104063458,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A132650930070001,,,RURAL RENTAL ASSISTANCE PAYMENTS,913,,,,,,,12.0,,,GA,13.0,BARROW,7.0,30680,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91399460,2007-09-24,2007-09-24,2007,48328457,588884.00,426728.00,588884.00,2304390.00,<1M,426728.00,0.00,0.00,104057489,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,loans,A320330930070002,,,RURAL RENTAL ASSISTANCE PAYMENTS,554,,,,,,,2.0,,,NV,33.0,WHITE PINE,2.0,89301,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91372259,2007-09-24,2007-09-24,2007,48328458,151185.00,0.00,151185.00,3081961.00,<1M,0.00,12892.00,134296.00,104030287,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A330010930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,120,,,,,,,1.0,,,NH,1.0,BELKNAP,1.0,03247,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91391129,2007-09-24,2007-09-24,2007,48328466,64048.00,0.00,64048.00,1591700.00,<1M,0.00,25861.00,269394.00,104049158,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A371950930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,338,,,,,,,7.0,,,NC,61.0,DUPLIN,7.0,28466,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,other_than_small_business category_business
000000000,91398676,2007-05-24,2007-05-24,2007,63189971,137940.00,303468.00,0.00,,<1M,137940.00,0.00,0.00,104056705,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A181550630070000,,,RURAL RENTAL ASSISTANCE PAYMENTS,500,,,,,,,9.0,,,IN,3.0,ALLEN,3.0,46818,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91398234,2007-09-25,2007-09-25,2007,63191412,50000.00,50000.00,563666.00,1234216.00,<1M,50000.00,0.00,0.00,104056263,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A160830930070002,,,RURAL RENTAL ASSISTANCE PAYMENTS,479,,,,,,,2.0,,,ID,1.0,ADA,2.0,83701,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91382906,2007-09-25,2007-09-25,2007,48297701,129462.00,0.00,129462.00,2180979.00,<1M,0.00,10359.00,107910.00,104040934,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A090110930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,210,,,,,,,2.0,,,CT,11.0,NEW LONDON,2.0,06340,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91355039,2007-09-25,2007-09-25,2007,63175661,670435.00,778378.00,670435.00,1468000.00,<1M,0.00,124679.00,273000.00,104013067,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A230190930070000,,,RURAL RENTAL HOUSING LOANS                                                 REHAB/REPAIR,056,,,,,,,2.0,,,ME,19.0,PENOBSCOT,2.0,04459,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91408788,2007-09-25,2007-09-25,2007,48326399,150092.00,0.00,150092.00,1183049.00,<1M,0.00,28193.00,293683.00,104066817,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A171090930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,895,,,,,,,17.0,,,IL,201.0,WINNEBAGO,16.0,61107,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91402915,2007-09-25,2007-09-25,2007,63193011,950377.00,0.00,950377.00,2080968.00,<1M,0.00,504924.00,1105593.00,104060944,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A040130930070000,,,RURAL RENTAL HOUSING LOANS                                                 REHAB/REPAIR,695,,,,,,,3.0,,,CO,3.0,ALAMOSA,3.0,81101,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91402184,2007-09-24,2007-09-24,2007,63192906,136000.00,136000.00,1438500.00,3000000.00,<1M,136000.00,0.00,0.00,104060213,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A061010930070002,,,RURAL RENTAL ASSISTANCE PAYMENTS,668,,,,,,,2.0,,,CA,101.0,SUTTER,2.0,95992,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91395863,2007-09-24,2007-09-24,2007,48328455,0.00,25000.00,27890.00,239126.00,<1M,0.00,6052.00,63042.00,104053892,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,grant,A311430930070001,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,433,,,,,,,3.0,,,NE,95.0,JEFFERSON,3.0,68352,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91406428,2007-09-24,2007-09-24,2007,48327841,55459.00,0.00,55459.00,777372.00,<1M,0.00,17652.00,183884.00,104064457,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A210930930070001,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,978,,,,,,,2.0,,,KY,93.0,HARDIN,2.0,40175,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91408709,2007-09-24,2007-09-24,2007,63194566,158952.00,158952.00,0.00,,<1M,158952.00,0.00,0.00,104066738,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A130330930070001,,,RURAL RENTAL ASSISTANCE PAYMENTS,890,,,,,,,12.0,,,GA,163.0,JEFFERSON,12.0,30833,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91406433,2007-09-18,2007-09-18,2007,63193974,87252.00,247214.00,0.00,,<1M,87252.00,0.00,0.00,104064462,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A261470930070000,,,RURAL RENTAL ASSISTANCE PAYMENTS,980,,,,,,,10.0,,,MI,37.0,CLINTON,8.0,48820,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91382108,2007-09-17,2007-09-17,2007,63187221,25016.00,0.00,25016.00,1507010.00,<1M,0.00,25016.00,1507010.00,104040136,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A660100930070002,,,RURAL HOUSING SITE LOANS                                                   HOUSING SITE DEVELOPMENT LOANS,196,,,,,,,0.0,,,GU,10.0,GUAM,0.0,96913,,,,,,,,,10.411,Rural Housing Site Loans and Self Help Housing Land Development Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91395109,2007-09-18,2007-09-18,2007,63190632,36992.00,0.00,36992.00,81000.00,<1M,0.00,36992.00,81000.00,104053138,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A460370930070001,,,RURAL RENTAL HOUSING LOANS                                                 REHAB/REPAIR,401,,,,,,,0.0,,,SD,13.0,BROWN,0.0,57402,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91405799,2007-09-18,2007-09-18,2007,63193769,59937.00,241440.00,59937.00,125000.00,<1M,0.00,59937.00,125000.00,104063828,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A121050930070001,,,FARM LABOR HOUSING LOANS AND GRANTS,932,,,,,,,12.0,,,FL,69.0,LAKE,6.0,34748,,,,,,,,,10.405,Farm Labor Housing Loans and Grants,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
000000000,91402904,2007-09-18,2007-09-18,2007,63184255,456700.00,299096.00,456700.00,1000000.00,<1M,0.00,456700.00,1000000.00,104060933,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A500270930070000,,,RURAL RENTAL HOUSING LOANS                                                 NEW CONSTRUCTION,691,,,,,,,0.0,,,VT,7.0,CHITTENDEN,0.0,05401,,,,,,,,,10.415,Rural Rental Housing Loans,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075720,2008-06-17,2008-06-17,2008,62968737,78039.00,78039.00,0.00,,<1M,78039.00,0.00,0.00,103638014,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080162174500,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,2.0,,,WA,33.0,KING,8.0,98004,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075664,2008-06-17,2008-06-17,2008,62968681,100912.00,100912.00,0.00,,<1M,100912.00,0.00,0.00,103637958,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080151866200,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,4.0,,,AR,131.0,SEBASTIAN,3.0,72913,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075691,2008-06-17,2008-06-17,2008,62968708,79288.00,79288.00,0.00,,<1M,79288.00,0.00,0.00,103637985,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080161175800,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,1.0,,,AR,131.0,SEBASTIAN,3.0,72913,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075676,2008-06-17,2008-06-17,2008,62968693,74646.00,74646.00,0.00,,<1M,74646.00,0.00,0.00,103637970,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080152197700,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,2.0,,,OR,33.0,JOSEPHINE,2.0,97526,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075559,2008-06-17,2008-06-17,2008,62968576,40716.00,40716.00,0.00,,<1M,40716.00,0.00,0.00,103637853,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080132147700,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,4.0,,,OR,39.0,LANE,4.0,97402,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075723,2008-06-17,2008-06-17,2008,62968740,88218.00,88218.00,0.00,,<1M,88218.00,0.00,0.00,103638017,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080162196800,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,4.0,,,CA,59.0,ORANGE,47.0,92840,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91075506,2008-06-17,2008-06-17,2008,62968523,61074.00,61074.00,0.00,,<1M,61074.00,0.00,0.00,103637800,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A06080122203900,,,RURAL RENTAL ASSISTANCE PAYMENTS,,,,,,,,4.0,,,OR,19.0,DOUGLAS,4.0,97470,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,nonprofit
